snow-storm	snowstorm	today	to-day	
46.50622020695268	0.0	6417.85838855947	1302.174165794675	
0.0	0.0	9035.095358355831	326.5697117478011	
0.0	14.879734545535706	6844.677890946426	74.39867272767853	
0.0	22.648517654519512	7768.441555500192	33.97277648177926	
0.0	51.22688386865427	12909.174734900875	51.22688386865427	
0.0	11.212647866793743	7153.669339014408	33.637943600381234	
0.0	22.16262937434897	9108.840672857428	99.73183218457038	
0.0	24.11614334635605	4992.041672695702	72.34843003906815	
0.0	17.684279029628243	4594.375691897418	49.515981282959075	
0.0	36.3054651070444	4649.368625270872	63.5345639373277	
0.0	17.066635459104685	3447.460362739146	85.33317729552343	
0.0	22.857273470134118	2157.1551837439074	97.14341224806999	
